id,RowId,ColId,QCScore,MedianExcess,NumExcess,LS3x3,DBSumPos,DBSumNeg,pGamma,pBeta,-ExcessHSA,-ExcessCRX,pGamma_scrambled
149,NCGC00162453,NCGC00095235,0,49.5028,13,-6.22366,0.32954,-0.23668,0.000978264,-0.005060335,35.59894,-0.14726,-0.007098838
150,NCGC00179536,NCGC00095235,3,63.72964,19,-22.93112,0.12087,-1.50489,0.054708714,0.027926821,253.53005,-0.67083,0.010656989
151,NCGC00346634,NCGC00095235,3,79.39021,10,-0.6578,1.03165,-0.12758,-0.01838423,-0.041499272,-34.28873,0,0.015432184
152,NCGC00345447,NCGC00095235,3,68.2623,19,-7.302,0.41134,-0.47056,0.009985433,-0.016038334,67.47238,-0.63059,0.028970136
153,NCGC00017363,NCGC00095235,0,60.59038,22,-13.23986,0.30862,-0.99875,0.037578571,0.007490665,208.71545,2.52371,0.025276508
154,NCGC00015871,NCGC00095235,3,82.40342,17,-25.38069,0.13474,-1.79988,0.038536191,0.031320963,202.95905,-2.52976,-0.008429827
155,NCGC00024379,NCGC00095235,0,50.01049,21,-11.20422,0.30534,-0.61131,0.020255918,0.00851254,92.47103,-0.19903,-0.005605158
156,NCGC00346681,NCGC00095235,0,33.13411,17,-2.89444,0.67945,-0.03047,0.004097292,-0.055439495,30.14735,-0.64756,0.009972101
157,NCGC00249613,NCGC00095235,0,60.22858,20,-1.55698,0.43113,-0.16813,0.0025044,-0.025506578,17.28332,0.01056,0.018629958
158,NCGC00242441,NCGC00095235,0,46.72329,21,-7.7509,0.39805,-0.05935,0.025847681,-0.005292076,85.69204,-4.52809,-0.031743651
159,NCGC00162440,NCGC00095235,3,54.42842,12,-3.83567,0.36221,-0.29099,-0.000841715,-0.002982028,2.56511,-0.03995,0.012128253
160,NCGC00162398,NCGC00095235,0,68.79149,24,-13.26128,0.05339,-0.85226,0.048735356,0.018897505,190.57577,-2.25368,0.001400685
161,NCGC00346692,NCGC00095235,2,36.65876,9,-2.47502,1.00844,-0.05809,-0.020058663,-0.077269769,4.45178,0,0.000212856
162,NCGC00346536,NCGC00095235,3,66.56919,19,-4.53798,0.66414,-0.27756,0.002722858,-0.03123067,38.41219,-1.62708,-0.028441108
